More Pricks than Kicks;kicks;1931;1934;;NA;NA;NA;en
Dream of Fair to Middling Women;dream;1932;1992;;NA;NA;NA;en
Murphy;murphy;1935;1938;;Murphy;murphy;1947;en
Watt;watt;1941;1953;;Watt;watt;1968;en
Molloy;molloy;1947;1955;;Molloy;molloy;1951;fr
Malone Dies;malone;1948;1956;;Malone meurt;malone;1951;fr
The Unnamable;unnamable;1949;1958;;L'Innomable;innomable;1953;fr
The End;end;1946;1954;Nouvelles;La fin;fin;1955;fr
The Expelled;expelled;1946;1962;Nouvelles;L'expulse;expulse;1946;fr
First Love;love;1946;1973;Nouvelles;Premier amour;amour;1970;fr
The calmative;calmative;1946;1967;Nouvelles;Le calmant;calmant;1955;fr
How It Is;how;1958;1964;;Comment c'est;comment;1961;fr
Mercier and Camier;mercier;1946;1974;;Mercier et Camier;mercier;1970;fr
Company;company;1976;1980;;Compagnie;compagnie;1980;en
Ceiling;ceiling;1981;1985;;Le plafond;plafond;1985;en
Ill Seen Ill Said;ill;1980;1981;;Mal vu mal dit;mal;1981;fr
The Way;way;1981;1981;;NA;NA;NA;en
Worstward Ho;ho;1981;1983;;NA;NA;NA;en
Stirrings Still;still;1983;1989;;Soubresauts;soubresauts;1989;en
Texts for Nothing;nothing;1951;1967;Texts for Nothing;Textes pour rien;rien;1955;fr
From an Abandoned Work;abandoned;1955;1956;Texts for Nothing;D'un ouvrage abandonné;abandonne;1967;en
Imagination Dead Imagine;imagine;1965;1965;Texts for Nothing;Imagination morte imaginez;imaginez;1965;fr
Enough;enough;1965;1967;Texts for Nothing;Assez;assez;1966;fr
The Lost Ones;ones;1970;1972;Texts for Nothing;Le depeupleur;depeupleur;1970;fr
Ping;Ping;1966;1967;Texts for Nothing;Bing;bing;1966;fr
Lessness;Lessness;1969;1970;Texts for Nothing;Sans;sans;1969;fr
Fizzles;fizzles;1960;1976;Fizzles;Foirades;foirades;1973;fr
